community	area_id
Douglas	35
Oakland	36
Fuller park	37
Grand boulevard	38
Kenwood	39
Lincoln square	4
Washington park	40
Hyde park	41
Woodlawn	42
Rogers park	1
Jefferson park	11
Forest glen	12
North park	13
Albany park	14
Portage park	15
Irving park	16
Dunning	17
Montclare	18
Belmont cragin	19
West ridge	2
Hermosa	20
Avondale	21
Logan square	22
Humboldt park	23
West town	24
Austin	25
West garfield park	26
East garfield park	27
Near west side	28
North lawndale	29
Uptown	3
South lawndale	30
Lower west side	31
Near south side	33
Armour square	34
Norwood park	10
Near north side	8
Loop	32
South shore	43
Chatham	44
Avalon park	45
South chicago	46
Burnside	47
Mckinley park	59
Lake view	6
Calumet heights	48
Roseland	49
North center	5
Pullman	50
South deering	51
East side	52
West pullman	53
Riverdale	54
Hegewisch	55
Garfield ridge	56
Archer heights	57
Brighton park	58
Bridgeport	60
New city	61
West elsdon	62
Gage park	63
Clearing	64
West lawn	65
Chicago lawn	66
West englewood	67
Englewood	68
Greater grand crossing	69
Lincoln park	7
Ashburn	70
Auburn gresham	71
Beverly	72
Washington heights	73
Mount greenwood	74
Morgan park	75
Ohare	76
Edgewater	77
Edison park	9
